sample_id	beer	country	brewery  project_id
SRR11032273	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11032274	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11032275	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11032276	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11032277	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11032278	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11032279	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11032280	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11032281	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11032282	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11032283	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11032284	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11032285	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11032286	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11032287	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11032288	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11032289	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11032290	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11032291	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11032292	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11032293	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11032294	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11032295	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11032296	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11032297	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11038211	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11038212	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11038213	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11038214	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11038215	Sesotho 	Lesotho	Thaba-Tseka  PRJNA605088
SRR11038216	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11038217	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11038218	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11038219	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11038220	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11038221	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11038222	Sesotho 	Lesotho	Maseru  PRJNA605088
SRR11038223	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11038224	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11038225	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11038226	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11038227	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11038228	Sesotho 	Lesotho	Mokhotlong  PRJNA605088
SRR11038229	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11038230	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11038231	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11038232	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11038233	Sesotho 	Lesotho	Mafeteng  PRJNA605088
SRR11038234	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR11038235	Sesotho 	Lesotho	Butha-Buthe  PRJNA605088
SRR12823951	Sour Flanders Red Ale	Russia	Brewery G  PRJNA669135
SRR12823952	Belgian Strong Dark Ale	Russia	Brewery F  	PRJNA669135
SRR12823954	Sour Ale	Russia	Brewery D  PRJNA669135
SRR12823955	Sour Ale	Russia	Brewery C  PRJNA669135
SRR12823957	American Wild Ale	Russia	Brewery C  PRJNA669135
SRR12823958	Sour - Fruited	Russia	Brewery C  PRJNA669135
SRR12823959	Sour - Fruited	Russia	Brewery C  PRJNA669135
SRR12823962	American Wild Ale	Russia	Brewery H  PRJNA669135
SRR12823963	American Wild Ale	Russia	Brewery H  PRJNA669135
SRR12823964	American Wild Ale	Russia	Brewery A  PRJNA669135
SRR12823965	Farmhouse Ale - Saison	Russia	Brewery B  PRJNA669135
SRR12823967	Sour Flanders Red Ale	Russia	Brewery G  PRJNA669135
SRR12823968	Belgian Strong Dark Ale	Russia	Brewery F  PRJNA669135
SRR12823970	Sour Ale	Russia	Brewery D  PRJNA669135
SRR12823971	Sour Ale	Russia	Brewery C  PRJNA669135
SRR12823972	Farmhouse Ale - Saison	Russia	Brewery B  PRJNA669135
SRR12823973	Farmhouse Ale - Sahti	Russia	Brewery B  PRJNA669135
SRR12823974	Brett Beer	Russia	Brewery A  PRJNA669135
SRR12823975	American Wild Ale	Russia	Brewery A  PRJNA669135
SRR12823976	Farmhouse Ale - Sahti	Russia	Brewery B  PRJNA669135
SRR12823978	American Wild Ale	Russia	Brewery C  PRJNA669135
SRR12823979	Sour - Fruited	Russia	Brewery C  PRJNA669135
SRR12823980	Sour - Fruited	Russia	Brewery C  PRJNA669135
SRR12823983	American Wild Ale	Russia	Brewery H  PRJNA669135
SRR12823984	American Wild Ale	Russia	Brewery H  PRJNA669135
SRR12823985	American Wild Ale	Russia	Brewery A  PRJNA669135
SRR12823987	Brett Beer	Russia	Brewery A  PRJNA669135
SRR12823988	American Wild Ale	Russia	Brewery A  PRJNA669135
SRR13173696	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173697	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173698	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173700	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173704	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173705	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173706	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173707	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173708	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173709	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173710	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173711	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173712	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173713	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173714	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173715	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173716	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173717	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173718	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173719	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173720	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173721	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173722	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173723	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173724	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13173725	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173726	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173727	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173728	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173729	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173730	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173731	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173732	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173733	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173734	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173735	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173736	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173737	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173738	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173739	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173740	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173741	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173742	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173743	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173744	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173745	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13173746	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173747	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173748	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173749	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173750	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173751	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173752	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173753	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555  
SRR13173754	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173755	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13173756	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182362	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182363	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182364	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182365	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182366	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182367	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182368	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182369	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182370	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182371	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182372	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182373	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182374	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182375	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182376	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182377	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182378	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182379	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182380	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182381	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182382	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182383	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182384	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182385	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182386	Blond Beer (3.12%)	Belgium	unkown  PRJNA681555
SRR13182387	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182388	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182389	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182390	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182391	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182392	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182393	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182394	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182395	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182396	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182397	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182398	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182399	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182400	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182401	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182402	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182403	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182404	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182405	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182406	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182407	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13182408	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182409	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13182410	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
