sample_id	beer	country	brewery
SRR11032273	Sesotho 	Lesotho	Thaba-Tseka
SRR11032274	Sesotho 	Lesotho	Thaba-Tseka
SRR11032275	Sesotho 	Lesotho	Thaba-Tseka
SRR11032276	Sesotho 	Lesotho	Thaba-Tseka
SRR11032277	Sesotho 	Lesotho	Thaba-Tseka
SRR11032278	Sesotho 	Lesotho	Butha-Buthe
SRR11032279	Sesotho 	Lesotho	Butha-Buthe
SRR11032280	Sesotho 	Lesotho	Maseru
SRR11032281	Sesotho 	Lesotho	Maseru
SRR11032282	Sesotho 	Lesotho	Maseru
SRR11032283	Sesotho 	Lesotho	Maseru
SRR11032284	Sesotho 	Lesotho	Maseru
SRR11032285	Sesotho 	Lesotho	Butha-Buthe
SRR11032286	Sesotho 	Lesotho	Mokhotlong
SRR11032287	Sesotho 	Lesotho	Mokhotlong
SRR11032288	Sesotho 	Lesotho	Mokhotlong
SRR11032289	Sesotho 	Lesotho	Mokhotlong
SRR11032290	Sesotho 	Lesotho	Mokhotlong
SRR11032291	Sesotho 	Lesotho	Mafeteng
SRR11032292	Sesotho 	Lesotho	Mafeteng
SRR11032293	Sesotho 	Lesotho	Mafeteng
SRR11032294	Sesotho 	Lesotho	Mafeteng
SRR11032295	Sesotho 	Lesotho	Mafeteng
SRR11032296	Sesotho 	Lesotho	Butha-Buthe
SRR11032297	Sesotho 	Lesotho	Butha-Buthe
SRR11038211	Sesotho 	Lesotho	Thaba-Tseka
SRR11038212	Sesotho 	Lesotho	Thaba-Tseka
SRR11038213	Sesotho 	Lesotho	Thaba-Tseka
SRR11038214	Sesotho 	Lesotho	Thaba-Tseka
SRR11038215	Sesotho 	Lesotho	Thaba-Tseka
SRR11038216	Sesotho 	Lesotho	Butha-Buthe
SRR11038217	Sesotho 	Lesotho	Butha-Buthe
SRR11038218	Sesotho 	Lesotho	Maseru
SRR11038219	Sesotho 	Lesotho	Maseru
SRR11038220	Sesotho 	Lesotho	Maseru
SRR11038221	Sesotho 	Lesotho	Maseru
SRR11038222	Sesotho 	Lesotho	Maseru
SRR11038223	Sesotho 	Lesotho	Butha-Buthe
SRR11038224	Sesotho 	Lesotho	Mokhotlong
SRR11038225	Sesotho 	Lesotho	Mokhotlong
SRR11038226	Sesotho 	Lesotho	Mokhotlong
SRR11038227	Sesotho 	Lesotho	Mokhotlong
SRR11038228	Sesotho 	Lesotho	Mokhotlong
SRR11038229	Sesotho 	Lesotho	Mafeteng
SRR11038230	Sesotho 	Lesotho	Mafeteng
SRR11038231	Sesotho 	Lesotho	Mafeteng
SRR11038232	Sesotho 	Lesotho	Mafeteng
SRR11038233	Sesotho 	Lesotho	Mafeteng
SRR11038234	Sesotho 	Lesotho	Butha-Buthe
SRR11038235	Sesotho 	Lesotho	Butha-Buthe
